R,G,B,Color name,Id
77,77,140,blue-shade,9
85,85,158,blue-shade,9
115,115,255,blue-shade,9
115,115,255,blue-shade,9
184,184,184,black-shade,13
99,99,99,black-shade,13
112,112,112,black-shade,13
168,168,168,black-shade,13
51,0,0,red-shade,1
102,0,0,red-shade,1
153,0,0,red-shade,1
204,0,0,red-shade,1
255,0,0,red-shade,1
255,51,51,red-shade,1
255,102,102,red-shade,1
255,153,153,red-shade,1
255,204,204,red-shade,1
255,160,122,red-shade,1
250,128,114,red-shade,1
233,150,122,red-shade,1
240,128,128,red-shade,1
205,92,92,red-shade,1
220,20,60,red-shade,1
178,34,34,red-shade,1
139,0,0,red-shade,1
128,0,0,red-shade,1
255,99,71,red-shade,1
255,69,0,red-shade,1
219,112,147,red-shade,1
51,25,0,orange-shade,2
102,51,0,orange-shade,2
153,76,0,orange-shade,2
204,102,0,orange-shade,2
255,128,0,orange-shade,2
255,153,51,orange-shade,2
255,178,102,orange-shade,2
255,204,153,orange-shade,2
255,209,204,orange-shade,2
255,127,80,orange-shade,2
255,99,71,orange-shade,2
255,69,0,orange-shade,2
255,215,0,orange-shade,2
255,165,0,orange-shade,2
255,140,0,orange-shade,2
51,51,0,yellow-shade,3
102,102,0,yellow-shade,3
153,153,0,yellow-shade,3
204,204,0,yellow-shade,3
255,255,0,yellow-shade,3
255,255,51,yellow-shade,3
255,255,102,yellow-shade,3
255,255,153,yellow-shade,3
255,255,204,yellow-shade,3
255,255,224,yellow-shade,3
255,250,205,yellow-shade,3
250,250,210,yellow-shade,3
255,239,213,yellow-shade,3
255,228,181,yellow-shade,3
225,218,185,yellow-shade,3
238,232,170,yellow-shade,3
240,230,140,yellow-shade,3
189,183,107,yellow-shade,3
25,51,0,yellowgreen-shade,4
51,102,0,yellowgreen-shade,4
76,153,0,yellowgreen-shade,4
102,204,0,yellowgreen-shade,4
128,255,0,yellowgreen-shade,4
153,255,51,yellowgreen-shade,4
178,255,102,yellowgreen-shade,4
204,255,153,yellowgreen-shade,4
229,255,204,yellowgreen-shade,4
0,51,0,green-shade,5
0,102,0,green-shade,5
0,153,0,green-shade,5
0,204,0,green-shade,5
0,255,0,green-shade,5
51,255,51,green-shade,5
102,255,102,green-shade,5
153,255,153,green-shade,5
204,255,204,green-shade,5
124,252,0,green-shade,5
127,255,0,green-shade,5
50,205,50,green-shade,5
0,255,0,green-shade,5
34,139,34,green-shade,5
0,128,0,green-shade,5
0,100,0,green-shade,5
0,255,127,green-shade,5
0,250,154,green-shade,5
144,238,144,green-shade,5
152,251,152,green-shade,5
143,188,143,green-shade,5
60,179,113,green-shade,5
32,178,170,green-shade,5
46,139,87,green-shade,5
128,128,0,green-shade,5
85,107,47,green-shade,5
107,142,35,green-shade,5
0,51,25,bluegreen-shade,6
0,102,51,bluegreen-shade,6
0,153,76,bluegreen-shade,6
0,204,102,bluegreen-shade,6
0,255,128,bluegreen-shade,6
51,255,153,bluegreen-shade,6
102,255,178,bluegreen-shade,6
153,255,204,bluegreen-shade,6
204,255,229,bluegreen-shade,6
0,51,51,cyan-shade,7
0,102,102,cyan-shade,7
0,153,153,cyan-shade,7
0,204,204,cyan-shade,7
0,255,255,cyan-shade,7
51,255,255,cyan-shade,7
102,255,255,cyan-shade,7
153,255,255,cyan-shade,7
204,255,255,cyan-shade,7
224,255,255,cyan-shade,7
127,255,212,cyan-shade,7
102,255,170,cyan-shade,7
175,238,238,cyan-shade,7
64,224,208,cyan-shade,7
72,209,204,cyan-shade,7
0,206,209,cyan-shade,7
32,178,170,cyan-shade,7
95,158,160,cyan-shade,7
0,139,139,cyan-shade,7
0,128,128,cyan-shade,7
0,25,51,lightblue-shade,8
0,51,102,lightblue-shade,8
0,76,153,lightblue-shade,8
0,102,204,lightblue-shade,8
0,128,255,lightblue-shade,8
51,153,255,lightblue-shade,8
102,178,255,lightblue-shade,8
153,204,255,lightblue-shade,8
204,229,255,lightblue-shade,8
240,248,255,lightblue-shade,8
230,230,250,lightblue-shade,8
176,224,230,lightblue-shade,8
173,216,230,lightblue-shade,8
135,206,250,lightblue-shade,8
0,191,225,lightblue-shade,8
0,0,51,blue-shade,9
0,0,102,blue-shade,9
0,0,153,blue-shade,9
0,0,204,blue-shade,9
0,0,255,blue-shade,9
51,51,255,blue-shade,9
102,102,255,blue-shade,9
153,153,255,blue-shade,9
204,204,255,blue-shade,9
25,0,51,bluviolet-shade,10
51,0,102,bluviolet-shade,10
76,0,153,bluviolet-shade,10
102,0,204,bluviolet-shade,10
127,0,255,bluviolet-shade,10
153,51,255,bluviolet-shade,10
178,102,255,bluviolet-shade,10
204,153,255,bluviolet-shade,10
229,204,255,bluviolet-shade,10
51,0,51,violet-shade,11
102,0,102,violet-shade,11
153,0,153,violet-shade,11
204,0,204,violet-shade,11
255,0,255,violet-shade,11
255,51,255,violet-shade,11
255,102,255,violet-shade,11
255,153,255,violet-shade,11
255,204,255,violet-shade,11
51,0,25,pink-shade,12
102,0,51,pink-shade,12
153,0,76,pink-shade,12
204,0,102,pink-shade,12
255,0,127,pink-shade,12
255,51,153,pink-shade,12
255,102,178,pink-shade,12
255,153,204,pink-shade,12
255,204,229,pink-shade,12
0,0,0,black-shade,13
32,32,32,black-shade,13
64,64,64,black-shade,13
96,96,96,black-shade,13
128,128,128,black-shade,13
160,160,160,black-shade,13
192,192,192,black-shade,13
224,224,224,white-shade,14
255,255,255,white-shade,14
255,250,250,white-shade,14
245,255,230,white-shade,14
240,255,255,white-shade,14
240,248,255,white-shade,14
248,248,255,white-shade,14
245,245,245,white-shade,14
255,245,238,white-shade,14
245,245,220,white-shade,14
253,245,230,white-shade,14
255,250,240,white-shade,14
255,255,240,white-shade,14
250,235,215,white-shade,14
